index,zh,en,count,github-repository,status,stargazers_count,forks_count,subscribers_count,pushed_at,created_at,updated_at,license,desc
0,安徽大学,Anhui University,0/1,[qxx/AHU_Thesis](https://github.com/qxx/AHU_Thesis),0,3,1,2,2014-03-11,2014-03-11,2023-03-05,GPL-2.0,**【长久未更新】** Anhui University Thesis Template for Undergraduate Students
1,北方民族大学,Northern Minzu University,1/1,[WizenZhang/NMUThesis](https://github.com/WizenZhang/NMUThesis),1,6,7,0,2019-06-12,2018-08-02,2023-08-29,MIT,北方民族大学学位论文LaTeX模板
2,北京大学,Peking University,7/8,[AllanChain/pkuthss-lyx](https://github.com/AllanChain/pkuthss-lyx),1,0,0,1,2023-04-03,2023-04-03,2023-04-03,MIT,Write PKU thesis with LyX is very easy.
3,北京大学,Peking University,7/8,[CasperVector/pkuthss](https://github.com/CasperVector/pkuthss),1,484,173,14,2023-05-30,2015-04-28,2023-11-24, ,LaTeX template for dissertations in Peking University
4,北京大学,Peking University,7/8,[GXIU/Easy-Templates](https://github.com/GXIU/Easy-Templates),1,5,1,2,2020-07-18,2020-05-14,2021-04-06, ,Minimum latex templates including PKU Thesis. Please Star 求加星！
5,北京大学,Peking University,7/8,[Thesharing/pkuthss](https://github.com/Thesharing/pkuthss),1,29,14,3,2020-04-16,2020-03-04,2023-03-21, ,LaTeX template for dissertations in Peking University
6,北京大学,Peking University,7/8,[doubleZ0108/pkuthss-mac](https://github.com/doubleZ0108/pkuthss-mac),1,22,3,2,2021-12-18,2021-12-12,2023-11-05, ,北京大学学位论文Latex模板(for Mac)，基于pkuthss v1.9.1修改，主要进行Mac的适配修改、个人最佳实践说明、配置踩坑经验
7,北京大学,Peking University,7/8,[tbcdebug/PKU_EECS_UGR_THSS](https://github.com/tbcdebug/PKU_EECS_UGR_THSS),1,27,22,1,2020-07-04,2019-04-12,2023-01-30, ,"Latex Template for Undergraduate Thesis at School of EECS, Peking University"
8,北京大学,Peking University,7/8,[vidon/pkuthssLyX](https://github.com/vidon/pkuthssLyX),0,5,2,2,2016-06-04,2016-06-28,2019-11-15, ,**【长久未更新】** A LyX template for thesis of Peking University
9,北京大学,Peking University,7/8,[wongsingfo/pku-grad-thesis](https://github.com/wongsingfo/pku-grad-thesis),1,20,1,2,2022-05-15,2021-04-22,2023-11-21, ,北京大学本科生毕业论文 latex 模版，基于 pkuthss 1.9.0 修改
