index,zh,en,count,github-repository,status,forks_count,watchers_count,subscribers_count,pushed_at,created_at,updated_at,desc
35,（葡萄牙） 里斯本高等理工学院,"Instituto Superior Técnico (Instituto Superior Técnico, IST)",1/1,[themiguelamador/ThesisIST](https://github.com/themiguelamador/ThesisIST),1,8,27,5,2023-06-16T20:41:16Z,2012-12-02T15:05:52Z,2023-06-16T20:39:09Z,LaTeX MSc and PhD Thesis Template - Instituto Superior Técnico
36,（葡萄牙）阿威罗大学,University of Aveiro (Universidade de Aveiro),1/1,[detiuaveiro/ua-thesis-template](https://github.com/detiuaveiro/ua-thesis-template),1,31,95,7,2023-11-14T08:18:44Z,2018-08-29T16:23:44Z,2023-11-18T17:13:02Z,📖 A thesis LaTeX template that complies with the University of Aveiro's guidelines and provides a simple CLI workflow around make and compatibility with Overleaf.
37,（日本）北陆先端科学技术大学院大学,"Japan Advanced Institute of Science and Technology (北陸先端科学技術大学院大学, JAIST)",1/1,[linwest/JAISTthesisLaTeX](https://github.com/linwest/JAISTthesisLaTeX),1,18,25,1,2019-03-31T00:46:02Z,2019-03-17T23:21:17Z,2023-11-15T16:22:43Z,JAIST Thesis LaTeX template
38,（日本）名古屋大学,Nagoya University (名古屋大学),1/1,[akira-okumura/MasterThesisTemplate](https://github.com/akira-okumura/MasterThesisTemplate),1,28,109,4,2023-02-10T10:45:24Z,2017-01-30T05:24:17Z,2023-11-13T05:50:42Z,修士論文 LaTeX テンプレート｜名古屋大学宇宙地球環境研究所の理学系修士学生用
39,（日本）庆应义塾大学,Keio University (庆应义塾大学),0/1,[ymrl/thesis-template](https://github.com/ymrl/thesis-template),0,16,41,3,2012-12-20T10:15:39Z,2012-11-12T05:23:58Z,2022-12-22T17:45:46Z,**【长久未更新】** SFCの修士論文に（たぶん）準拠したLaTeXテンプレート
40,（瑞士）苏黎世联邦理工学院,ETH Zurich,0/1,[tuxu/ethz-thesis](https://github.com/tuxu/ethz-thesis),0,39,84,4,2017-03-04T13:12:17Z,2017-03-01T16:56:28Z,2023-10-31T14:24:56Z,**【长久未更新】** LaTeX template for a PhD thesis at ETH Zurich
41,（瑞士）苏黎世应用科技大学,Zurich University of Applied Sciences (ZHAW),1/1,[matteodelucchi/ZHAW_thesis-template](https://github.com/matteodelucchi/ZHAW_thesis-template),1,54,18,5,2023-11-01T16:51:04Z,2020-08-24T12:11:52Z,2023-11-23T09:57:36Z,"LaTeX thesis template for ZHAW, Zurich University of Applied Sciences."
42,（土耳其）伊斯坦布尔科技大学,"Istanbul Technical University (istanbul Teknik Üniversitesi, ITU)",2/2,[ituast/itutezLyX](https://github.com/ituast/itutezLyX),1,1,1,2,2019-05-15T16:43:41Z,2018-11-04T21:37:40Z,2021-08-18T06:59:09Z,Istanbul Technical University M.S. and Ph.D. Thesis in LyX (UNOFFICIAL)
43,（土耳其）伊斯坦布尔科技大学,"Istanbul Technical University (istanbul Teknik Üniversitesi, ITU)",2/2,[ondes/Template-Latex-ITU-Thesis](https://github.com/ondes/Template-Latex-ITU-Thesis),1,20,53,12,2023-10-21T18:40:18Z,2019-02-19T08:45:17Z,2023-10-22T08:57:07Z,LaTeX Template of Istanbul Technical University thesis projects
44,（西班牙）马德里理工大学,"Technical University of Madrid (Universidad Politécnica de Madrid, UPM)",1/1,[ricardolopezgr/TFG-TFM-template](https://github.com/ricardolopezgr/TFG-TFM-template),1,0,2,1,2018-11-25T15:47:10Z,2018-11-19T23:40:35Z,2023-05-15T10:47:05Z,Plantilla LaTeX para el Trabajo de Fin de Grado/Máster de la Escuela Técnica Superior de Ingenieros Navales de la Universidad Politécnica de Madrid.
45,（西班牙）马拉加大学,"University of Malaga (Universidad de Málaga, UMA)",1/1,[benhid/TFG-UMA](https://github.com/benhid/TFG-UMA),1,3,7,2,2020-01-08T19:53:56Z,2018-04-15T11:11:02Z,2023-01-25T08:34:01Z,Plantilla en LaTeX para la elaboración del Trabajo de Fin de Grado (Universidad de Málaga)
46,（希腊）雅典国家技术大学,"National Technical University of Athens (Εθνικό Μετσόβιο Πολυτεχνείο, NTUA)",1/1,[estamos/NTUA-ECE-Thesis-Template](https://github.com/estamos/NTUA-ECE-Thesis-Template),1,7,64,2,2022-01-19T11:22:42Z,2020-01-21T16:24:51Z,2023-09-19T13:31:58Z,📑 LaTeX Thesis Template for School of Electrical and Computer Engineering | National Technical University of Athens
