index,github-repository,status,stargazers_count,forks_count,subscribers_count,pushed_at,created_at,updated_at,license,desc
0,[qjcg/awesome-typst](https://github.com/qjcg/awesome-typst),1,1100,80,18,2023-11-24,2023-03-23,2023-11-25,CC0-1.0,Awesome Typst Links
1,[typst/typst](https://github.com/typst/typst),1,23264,581,61,2023-11-25,2019-09-24,2023-11-26,Apache-2.0,A new markup-based typesetting system that is powerful and easy to learn.
