index,github-repository,status,forks_count,watchers_count,subscribers_count,pushed_at,created_at,updated_at,desc
0,[Haixing-Hu/typesetting-standard](https://github.com/Haixing-Hu/typesetting-standard),1,104,633,37,2020-06-16T07:09:21Z,2013-09-15T15:59:04Z,2023-11-15T05:21:14Z,中文排版所需遵循的标准和规范
1,[sparanoid/chinese-copywriting-guidelines](https://github.com/sparanoid/chinese-copywriting-guidelines),1,1799,13319,252,2023-10-24T11:52:57Z,2014-03-17T08:27:16Z,2023-11-24T19:13:58Z,Chinese copywriting guidelines for better written communication／中文文案排版指北
