index,github-repository,status,stargazers_count,forks_count,subscribers_count,pushed_at,created_at,updated_at,license,desc
0,[cagix/pandoc-thesis](https://github.com/cagix/pandoc-thesis),1,70,20,2,2023-09-11,2019-07-22,2023-11-01,MIT,A Template for Thesis Documents written in Markdown
1,[ismayc/thesisdown](https://github.com/ismayc/thesisdown),1,779,348,26,2023-05-29,2016-08-16,2023-11-18,NOASSERTION,An updated R Markdown thesis template using the bookdown package
2,[pzhaonet/bookdownplus](https://github.com/pzhaonet/bookdownplus),1,246,31,12,2021-12-31,2017-05-15,2023-08-23,MIT,The easiest way to use R package bookdown for  writing varied types of books and documents
3,[tompollard/phd_thesis_markdown](https://github.com/tompollard/phd_thesis_markdown),1,1163,531,30,2023-05-23,2015-02-10,2023-11-24,MIT,Template for writing a PhD thesis in Markdown
