index,github-repository,status,stargazers_count,forks_count,subscribers_count,pushed_at,created_at,updated_at,license,desc
0,[ElegantLaTeX/ElegantBook](https://github.com/ElegantLaTeX/ElegantBook),1,1818,361,43,2022-12-31,2019-01-15,2023-11-24,LPPL-1.3c,Elegant LaTeX Template for Books
1,[alexpovel/latex-cookbook](https://github.com/alexpovel/latex-cookbook),1,184,17,8,2023-08-26,2019-05-02,2023-11-22,MIT,"A comprehensive LaTeX template with examples for theses, books and more, employing the 'latest and greatest' (UTF8, glossaries, fonts, ...). The PDF artifact is built using CI/CD, with a Python testing framework."
2,[annProg/PanBook](https://github.com/annProg/PanBook),1,248,29,5,2023-03-22,2015-06-11,2023-11-24,BSD-3-Clause,"Pandoc LaTeX，Epub模板，用于生成书籍，幻灯片(beamer)，简历，论文等（cv, thesis, ebook,beamer)"
3,[fmarotta/kaobook](https://github.com/fmarotta/kaobook),1,705,147,23,2023-09-27,2019-01-07,2023-11-25,LPPL-1.3c,"A LaTeX class for books, reports or theses based on https://github.com/kenohori/thesis and https://github.com/Tufte-LaTeX/tufte-latex."
4,[rorygregson/OSCOLA-LaTeX-Template](https://github.com/rorygregson/OSCOLA-LaTeX-Template),1,9,2,1,2022-08-09,2019-06-21,2023-09-07, ,"A LaTeX template using the OSCOLA referencing system, intended for law theses, articles, and books."
5,[thesfinox/latex-commons](https://github.com/thesfinox/latex-commons),1,1,0,2,2023-11-08,2020-06-10,2022-07-27,CC-BY-SA-4.0,Common custom commands and classes in LaTeX
