index,zh,en,count,github-repository,status,forks_count,watchers_count,subscribers_count,pushed_at,created_at,updated_at,desc
0,大连理工大学,Dalian University of Technology,1/1,[fuujiro/DLUT-Beamer-Slide-V2](https://github.com/fuujiro/DLUT-Beamer-Slide-V2),1,16,62,4,2021-02-04T05:19:19Z,2020-06-27T16:10:40Z,2023-11-20T05:59:36Z,✨新版大连理工Beamer主题 ✨一份简约现代的beamer模板 / PPT杀手 / 学术范入门
1,东南大学,Southeast University,1/1,[GuanxingLu/SEU-beamer-latex-slide](https://github.com/GuanxingLu/SEU-beamer-latex-slide),1,0,3,1,2023-06-08T02:21:37Z,2023-06-03T07:25:35Z,2023-10-30T12:55:46Z,"This is my own graduation thesis defense slide, you can think of it as a Southeast University beamer template."
2,西安电子科技大学,Xidian University,0/2,[StickCui/BeamerForXidian](https://github.com/StickCui/BeamerForXidian),0,4,4,2,2015-11-17T05:16:29Z,2015-06-17T10:18:25Z,2023-01-28T13:50:52Z,**【已归档/长久未更新】** Mainly package for Xidian University‘s Beamer. Beamer theme based on Berkeley.
3,西安电子科技大学,Xidian University,0/2,[StickCui/XDUstyle-Beamer-Theme](https://github.com/StickCui/XDUstyle-Beamer-Theme),0,11,32,2,2016-06-03T11:40:46Z,2016-05-30T12:39:49Z,2023-05-21T13:34:46Z,**【长久未更新】** 西安电子科技大学 Beamer 主题
4,西南交通大学,Southwest Jiaotong University,1/1,[swjtutug/swjtubeamer](https://github.com/swjtutug/swjtubeamer),1,2,4,2,2018-03-22T12:53:38Z,2018-03-17T08:53:59Z,2022-07-17T11:47:17Z,A Simple Demonstration of Beamer Class for Presentation of SWJTU.
5,中国科学技术大学,University of Science and Technology of China,1/1,[ustctug/ustcbeamer](https://github.com/ustctug/ustcbeamer),1,56,229,9,2022-07-26T06:50:32Z,2015-03-17T04:46:43Z,2023-11-21T10:10:46Z,USTC Beamer 模板（基于学校公用 PPT 模板）
6,中国科学院大学,University of Chinese Academy of Sciences,1/1,[peng-yq/UCAS-Beamer-Theme](https://github.com/peng-yq/UCAS-Beamer-Theme),1,1,6,1,2022-12-10T04:38:33Z,2022-12-10T04:31:50Z,2023-09-21T01:44:58Z,"A Beamer Theme of UCAS for academic report, thesis and talk."
7,中国人民大学,Renmin University of China,0/1,[andelf/ruc-beamer-template](https://github.com/andelf/ruc-beamer-template),0,8,16,3,2015-03-12T12:58:41Z,2015-03-12T09:16:43Z,2023-09-19T01:22:03Z,**【长久未更新】** Latex beamer template for RUC
