index,github-repository,status,stargazers_count,forks_count,subscribers_count,pushed_at,created_at,updated_at,license,desc
0,[BubuAnabelas/awesome-markdown](https://github.com/BubuAnabelas/awesome-markdown),1,714,67,17,2023-06-02,2016-07-26,2023-11-15,CC0-1.0,:memo: Delightful Markdown stuff.
1,[mundimark/awesome-markdown](https://github.com/mundimark/awesome-markdown),1,1287,219,45,2022-12-04,2015-05-03,2023-11-25, ,"A collection of awesome markdown goodies (libraries, services, editors, tools, cheatsheets, etc.)"
2,[mundimark/awesome-markdown-editors](https://github.com/mundimark/awesome-markdown-editors),1,778,96,25,2023-11-25,2016-03-15,2023-11-23, ,"A collection of awesome markdown editors & (pre)viewers for Linux, Apple OS X, Microsoft Windows, the World Wide Web & more"
