序号,合计,GitHub仓库,已归档,已荒废,Star数,Fork数,最新推送,创建时间,许可证,说明
0,4/0/0,[cagix/pandoc-thesis](https://github.com/cagix/pandoc-thesis), , ,77,24,2024-03-06,2019-07-22,MIT,Pandoc Thesis Template: A Template for Thesis Documents written in Markdown
1,4/0/0,[ismayc/thesisdown](https://github.com/ismayc/thesisdown), , ,789,353,2024-03-20,2016-08-16,NOASSERTION,An updated R Markdown thesis template using the bookdown package
2,4/0/0,[pzhaonet/bookdownplus](https://github.com/pzhaonet/bookdownplus), , ,248,31,2021-12-31,2017-05-15,MIT,The easiest way to use R package bookdown for writing varied types of books and documents
3,4/0/0,[tompollard/phd_thesis_markdown](https://github.com/tompollard/phd_thesis_markdown), , ,1182,544,2023-05-23,2015-02-10,MIT,Template for writing a PhD thesis in Markdown
