序号,合计,GitHub仓库,已归档,已荒废,Star数,Fork数,最新推送,创建时间,许可证,说明
0,2/0/0,[qjcg/awesome-typst](https://github.com/qjcg/awesome-typst), , ,1640,97,2024-03-20,2023-03-23,CC0-1.0,Awesome Typst Links
1,2/0/0,[typst/typst](https://github.com/typst/typst), , ,27130,721,2024-03-22,2019-09-24,Apache-2.0,A new markup-based typesetting system that is powerful and easy to learn.
