序号,合计,GitHub仓库,已归档,已荒废,Star数,Fork数,最新推送,创建时间,许可证,说明
0,3/0/0,[hushidong/biblatex-gb7714-2015](https://github.com/hushidong/biblatex-gb7714-2015), , ,693,78,2024-03-15,2016-10-12, ,A biblatex implementation of the GB/T7714-2015 bibliography style || GB/T 7714-2015 参考文献著录和标注的biblatex样式包
1,3/0/0,[redleafnew/Chinese-STD-GB-T-7714-related-csl](https://github.com/redleafnew/Chinese-STD-GB-T-7714-related-csl), , ,4242,763,2024-03-13,2020-12-16,NOASSERTION,GB/T 7714相关的csl以及Zotero使用技巧及教程。
2,3/0/0,[zepinglee/gbt7714-bibtex-style](https://github.com/zepinglee/gbt7714-bibtex-style), , ,1054,194,2024-03-15,2016-03-19,LPPL-1.3c,GB/T 7714-2015 BibTeX Style
