序号,中文名,英文名,合计,GitHub仓库,已归档,已荒废,Star数,Fork数,最新推送,创建时间,许可证,说明
0,西北工业大学,Northwestern Polytechnical University,3/0/1,[MoetaYuko/NPU_PhD_proposal](https://github.com/MoetaYuko/NPU_PhD_proposal), , ,4,1,2022-05-25,2022-05-22, ,西北工业大学博士研究生学位论文开题报告表LaTeX模板
1,西北工业大学,Northwestern Polytechnical University,3/0/1,[NPUSCG/npu-dissertation-proposal](https://github.com/NPUSCG/npu-dissertation-proposal), , ,6,6,2022-06-04,2018-01-20, ,西北工业大学研究生选题报告表 LaTeX 模板
2,西北工业大学,Northwestern Polytechnical University,3/0/1,[zzhang1987/NPUResearchProposal](https://github.com/zzhang1987/NPUResearchProposal), ,🔒️,8,6,2015-07-23,2014-10-09, ,西北工业大学博士开题报告XeLaTeX模板
3,浙江大学,Zhejiang University,1/0/1,[corenel/ZJUProposal](https://github.com/corenel/ZJUProposal), ,🔒️,17,6,2017-06-29,2017-01-05,GPL-3.0,ZJU LaTeX Proposal Template for Undergraduate.
4,中国科学院大学,University of Chinese Academy of Sciences,1/0/0,[mohuangrui/ucasproposal](https://github.com/mohuangrui/ucasproposal), , ,554,132,2021-10-29,2016-10-02, ,LaTeX Proposal Template for the University of Chinese Academy of Sciences
5,中南大学,Central South University,1/0/0,[zhong-yy/CSU_Thesis_Proposal](https://github.com/zhong-yy/CSU_Thesis_Proposal), , ,10,5,2021-11-19,2018-11-21, ,中南大学研究生学位论文开题报告LaTeX模板
