index,count,repository,archived,obsolete,stargazers,forks,pushed_at,created_at,license,description
0,4/0/1,[MLNLP-World/Paper-Picture-Writing-Code](https://github.com/MLNLP-World/Paper-Picture-Writing-Code), , ,935,167,2022-11-05,2022-11-05, ,MLNLP: Paper Picture Writing Code
1,4/0/1,[synercys/annotated_latex_equations](https://github.com/synercys/annotated_latex_equations), , ,3674,209,2022-07-12,2022-07-12,MIT,"Examples of how to create colorful, annotated equations in Latex using Tikz."
2,4/0/1,[xinychen/academic-drawing](https://github.com/xinychen/academic-drawing), ,🔒️,185,40,2019-09-27,2019-09-27, ,Providing codes (including Matlab and Python) for visualizing numerical experiment results.
3,4/0/1,[xinychen/awesome-latex-drawing](https://github.com/xinychen/awesome-latex-drawing), , ,1204,154,2023-03-31,2023-03-31,MIT,"Drawing Bayesian networks, graphical models, tensors, technical frameworks, and illustrations in LaTeX."
