index,zh,en,count,repository,archived,obsolete,stargazers,forks,pushed_at,created_at,license,description
53,（印度尼西亚）印度尼西亚大学,University of Indonesia (Universitas Indonesia),2/0/2,[rkkautsar/ui-thesis-template](https://github.com/rkkautsar/ui-thesis-template), ,🔒️,10,2,2019-03-06,2019-03-06,NOASSERTION,LaTeX configuration for report/thesis/dissertation according to Universitas Indonesia standard originally made by Andreas Febrian. Forked from https://github.com/yohanesgultom/ui_style
54,（印度尼西亚）印度尼西亚大学,University of Indonesia (Universitas Indonesia),2/0/2,[yohanesgultom/ui_style](https://github.com/yohanesgultom/ui_style), ,🔒️,4,2,2017-05-03,2016-06-10,NOASSERTION,LaTeX configuration for report/thesis/dissertation according to University Indonesia standard originally made by Andreas Febrian
55,（印度）印度理工学院马德拉斯分校,"Indian Institute of Technology Madras, IIT Madras",1/0/1,[amitanilkulkarni/iitm-thesis-template](https://github.com/amitanilkulkarni/iitm-thesis-template), ,🔒️,1,5,2016-04-24,2016-04-18,MIT,"I have ported the thesis template for IIT Madras from LaTeX to LyX for those who prefer WYSIWYG editors. (Idk, I personally use LaTeX - it's not that tough)."
56,（英国）帝国理工学院,Imperial College London (IC),1/0/1,[blaahhrrgg/icldiss](https://github.com/blaahhrrgg/icldiss), ,🔒️,2,0,2015-07-28,2015-07-21,MIT,A LaTeX dissertation template for Imperial College London.
57,（英国）格拉斯哥大学,University of Glasgow,1/0/1,[sdstrowes/Glasgow-Thesis-Template](https://github.com/sdstrowes/Glasgow-Thesis-Template), ,🔒️,22,13,2015-11-20,2011-10-14, ,A Glasgow University LaTeX thesis template.
58,（英国）剑桥大学,University of Cambridge,3/0/1,[cambridge/thesis](https://github.com/cambridge/thesis), , ,200,90,2022-04-23,2011-05-06,NOASSERTION,A LaTeX document class that conforms to the Computer Laboratory's PhD thesis formatting guidelines.
59,（英国）剑桥大学,University of Cambridge,3/0/1,[kks32/PhDThesisLyX](https://github.com/kks32/PhDThesisLyX), ,🔒️,41,25,2014-08-04,2014-01-10,MIT,A LyX PhD thesis template for Cambridge University Engineering Department
60,（英国）剑桥大学,University of Cambridge,3/0/1,[kks32/phd-thesis-template](https://github.com/kks32/phd-thesis-template), , ,784,381,2023-07-30,2013-11-14,MIT,A LaTeX / XeLaTeX / LuaLaTeX PhD thesis template for Cambridge University Engineering Department (CUED)
61,（英国）考文垂大学,Coventry University,1/0/0,[GR8DAN/coventry-thesis](https://github.com/GR8DAN/coventry-thesis), , ,12,7,2022-10-30,2017-01-20,MIT,"A LaTeX template for a Coventry University Thesis, based on a Cambridge University Engineering Department template."
62,（英国）利物浦大学,University Of Liverpool,1/0/0,[GiacomoPope/thesis-template](https://github.com/GiacomoPope/thesis-template), , ,16,2,2022-07-08,2022-07-08, ,The Latex files used to create my PhD Thesis
63,（英国）伦敦大学学院,University College London (UCL),2/0/1,[UCL/ucl-latex-thesis-templates](https://github.com/UCL/ucl-latex-thesis-templates), , ,147,104,2022-07-06,2014-06-16,NOASSERTION,UCL LaTeX thesis templates.
64,（英国）伦敦大学学院,University College London (UCL),2/0/1,[wittawatj/ucl-lyx-thesis](https://github.com/wittawatj/ucl-lyx-thesis), ,🔒️,3,2,2017-10-25,2017-10-02,MIT,PhD thesis template in Lyx for UCL students
65,（英国）伦敦艺术大学,"University of the Arts London, UAL",1/0/1,[natuk/ual-thesis-template](https://github.com/natuk/ual-thesis-template), ,🔒️,0,0,2015-07-08,2015-07-07, ,A LyX (LaTeX) template which conforms to the University of the Arts London standard for writing a PhD thesis.
66,（英国）曼彻斯特大学,University of Manchester,1/0/0,[Adorno-Lab/phd-thesis-lyx-template](https://github.com/Adorno-Lab/phd-thesis-lyx-template), , ,0,0,2023-09-22,2023-09-21, ,This repository contains the LyX template for the University of Manchester/EEE PhD thesis.
67,（英国）牛津大学,University of Oxford,2/0/1,[mcmanigle/OxThesis](https://github.com/mcmanigle/OxThesis), , ,166,90,2023-12-13,2017-08-13,NOASSERTION,LaTeX template for an Oxford University thesis
68,（英国）牛津大学,University of Oxford,2/0/1,[telegraphic/Oxford-LyX-Thesis-Template](https://github.com/telegraphic/Oxford-LyX-Thesis-Template), ,🔒️,29,15,2015-01-27,2011-05-13, ,University of Oxford LyX Thesis Template
69,（智利）费德里科圣玛利亚理工大学,"Federico Santa María Technical University (Universidad Técnica Federico Santa María, UTFSM)",1/0/0,[autopawn/tex-thesis-template](https://github.com/autopawn/tex-thesis-template), , ,22,28,2023-04-06,2017-08-17, ,LaTeX template for undergraduate thesis of informatics engineering at the UTFSM.
