index,zh,en,count,repository,archived,obsolete,stargazers,forks,pushed_at,created_at,license,description
252,南方科技大学,Southern University of Science and Technology,5/1/3,[Peng-YM/SUSTech-Thesis](https://github.com/Peng-YM/SUSTech-Thesis),📦,🔒️,91,30,2019-10-15,2019-03-24,MIT,南方科技大学毕业论文LaTeX模板
253,南方科技大学,Southern University of Science and Technology,5/1/3,[SUSTC/sustcthesis](https://github.com/SUSTC/sustcthesis), ,🔒️,13,2,2015-04-06,2015-06-17,MIT,graduation thesis latex template for sustcer
254,南方科技大学,Southern University of Science and Technology,5/1/3,[SUSTech-CRA/sustech-master-thesis](https://github.com/SUSTech-CRA/sustech-master-thesis), , ,167,43,2024-02-28,2021-02-22,LPPL-1.3c,南方科技大学研究生学位论文LaTeX模板
255,南方科技大学,Southern University of Science and Technology,5/1/3,[iydon/sustechthesis](https://github.com/iydon/sustechthesis), , ,174,50,2024-02-28,2018-08-24,LPPL-1.3c,南方科技大学本科生毕业论文 LaTeX 模板
256,南方科技大学,Southern University of Science and Technology,5/1/3,[whzecomjm/sustcthesis](https://github.com/whzecomjm/sustcthesis), ,🔒️,7,15,2017-07-31,2015-04-01,MIT,graduation thesis latex template for sustcer
257,南京大学,Nanjing University,10/0/6,[AnyiRao/NJUThesis2018](https://github.com/AnyiRao/NJUThesis2018), ,🔒️,34,44,2018-06-24,2018-06-24, ,A LATEX template of NJU Thesis 2018 Version 南京大学本科生毕业论文LaTex模板 2018版
258,南京大学,Nanjing University,10/0/6,[EdwardSaidZhou/NJU-thesis-esz](https://github.com/EdwardSaidZhou/NJU-thesis-esz), , ,7,2,2022-03-25,2020-12-12, ,南京大学研究生学位论文模板（自己修改）
259,南京大学,Nanjing University,10/0/6,[GFrankenstein/NJU-Thesis-LaTeX-Template](https://github.com/GFrankenstein/NJU-Thesis-LaTeX-Template), ,🔒️,25,9,2015-01-13,2013-02-25, ,A LaTeX template for Nanjing University
260,南京大学,Nanjing University,10/0/6,[Haixing-Hu/nju-thesis](https://github.com/Haixing-Hu/nju-thesis), , ,412,148,2021-03-23,2013-08-23,GPL-2.0,南京大学学位论文XeLaTeX模板
261,南京大学,Nanjing University,10/0/6,[ZLCao/NJUBachelor](https://github.com/ZLCao/NJUBachelor), ,🔒️,49,23,2019-06-25,2016-06-05, ,南京大学本科毕业论文Latex模板
262,南京大学,Nanjing University,10/0/6,[jiangyy/njuthesis](https://github.com/jiangyy/njuthesis), ,🔒️,109,17,2019-01-16,2016-12-19, ,南京大学山寨毕业论文模版
263,南京大学,Nanjing University,10/0/6,[nju-lug/NJUThesis](https://github.com/nju-lug/NJUThesis), , ,365,53,2024-01-17,2021-05-20,LPPL-1.3c,南京大学学位论文模板
264,南京大学,Nanjing University,10/0/6,[njuHan/njuthesis-nju-thesis-template](https://github.com/njuHan/njuthesis-nju-thesis-template), , ,320,92,2024-02-28,2018-03-03,GPL-2.0,南京大学学位论文(本科/硕士/博士)，毕业论文LaTeX模板
265,南京大学,Nanjing University,10/0/6,[solrex/njuthesis](https://github.com/solrex/njuthesis), ,🔒️,23,10,2018-06-23,2015-03-14, ,南京大学学位论文 LaTeX 模板
266,南京大学,Nanjing University,10/0/6,[zhangchuheng123/NJUThesis](https://github.com/zhangchuheng123/NJUThesis), ,🔒️,13,3,2016-06-01,2016-04-16, ,南京大学本科毕业论文模板
267,南京工业大学,Nanjing University of Technology,2/0/1,[AstralHope/NJTECHMasterThesis](https://github.com/AstralHope/NJTECHMasterThesis), , ,6,0,2022-08-07,2022-02-18,GPL-3.0,南京工业大学硕士论文
268,南京工业大学,Nanjing University of Technology,2/0/1,[faimerth/NJUT-Thesis-Template](https://github.com/faimerth/NJUT-Thesis-Template), ,🔒️,10,2,2019-06-30,2019-06-10,GPL-3.0,南京工业大学本科生毕业论文模版(lualatex)
269,南京航空航天大学,Nanjing University of Aeronautics and Astronautics,4/0/2,[ForeverDavid/nuaa-thesis](https://github.com/ForeverDavid/nuaa-thesis), ,🔒️,0,0,2016-05-24,2017-03-01,GPL-3.0,nuaa-thesis is a LaTeX style package providing nuaa thesis format. (in progress)
270,南京航空航天大学,Nanjing University of Aeronautics and Astronautics,4/0/2,[nmykhan/NUAA-Thesis-Template-NASR](https://github.com/nmykhan/NUAA-Thesis-Template-NASR), , ,0,0,2022-12-22,2022-12-22, ,PhD thesis latex template: NUAA – Nanjing University of Aeronautics and Astronautics.
271,南京航空航天大学,Nanjing University of Aeronautics and Astronautics,4/0/2,[nuaatug/nuaathesis](https://github.com/nuaatug/nuaathesis), , ,286,65,2022-09-22,2017-07-31,Apache-2.0,"LaTeX document class for NUAA, supporting bachelor/master/PH.D thesis in Chinese/English/Japanese. 南航本科、硕士、博士学位论文 LaTeX 模板"
272,南京航空航天大学,Nanjing University of Aeronautics and Astronautics,4/0/2,[wfxyjx/nuaathesis](https://github.com/wfxyjx/nuaathesis), ,🔒️,0,0,2014-03-10,2014-03-10, ,Latex template for bachelor's thesis of students in NUAA
273,南京理工大学,Nanjing University of Science and Technology,2/0/1,[jiec827/njustThesis](https://github.com/jiec827/njustThesis), ,🔒️,103,35,2016-04-09,2015-01-03,GPL-2.0,LaTeX thesis template for Nanjing University of Sci & Tech（南京理工大学学位论文LaTeX模版）
274,南京理工大学,Nanjing University of Science and Technology,2/0/1,[packyan/NJUST_Master_Thesis_Latex_Template](https://github.com/packyan/NJUST_Master_Thesis_Latex_Template), , ,16,4,2020-08-21,2020-08-21, ,南京理工大学 硕士 学位论文 LATEX 模版
275,南京林业大学,Nanjing Forestry University,1/0/0,[iamty/thesis-NJFU](https://github.com/iamty/thesis-NJFU), , ,14,0,2023-01-09,2023-01-08,LPPL-1.3c,LaTeX template for NJFU bachelor thesis. 南京林业大学本科生毕业论文LaTeX模板
276,南京农业大学,Nanjing Agricultural University,1/0/0,[Qsion/NJAU_Thesis](https://github.com/Qsion/NJAU_Thesis), , ,4,4,2023-12-04,2017-12-05,GPL-3.0,NJAU Thesis LaTeX Template for Undergraduate Students（南京农业大学本科生毕业论文 LaTeX 模板 理工科版）
277,南京审计大学,Nanjing University of Audit,1/0/0,[SuperposedWave/NauThesis](https://github.com/SuperposedWave/NauThesis), , ,0,0,2023-03-23,2023-03-23, ,南京审计大学研究生毕业论文LaTeX模板
