序号,合计,GitHub仓库,已归档,已荒废,Star数,Fork数,最新推送,创建时间,许可证,说明
0,2/0/0,[Haixing-Hu/typesetting-standard](https://github.com/Haixing-Hu/typesetting-standard), , ,649,106,2020-06-16,2013-09-15, ,中文排版所需遵循的标准和规范
1,2/0/0,[sparanoid/chinese-copywriting-guidelines](https://github.com/sparanoid/chinese-copywriting-guidelines), , ,13683,1789,2024-02-25,2014-03-17,MIT,Chinese copywriting guidelines for better written communication／中文文案排版指北
