index,zh,en,count,repository,archived,obsolete,stargazers,forks,pushed_at,created_at,license,description
0,北京大学,Peking University,1/0/0,[lucifer1004/pkuthss-typst](https://github.com/lucifer1004/pkuthss-typst), , ,59,11,2024-02-28,2023-04-08,MIT,Typst template for dissertations in Peking University (PKU).
1,北京邮电大学,Beijing University of Posts and Telecommunications,1/0/0,[QQKdeGit/bupt-typst](https://github.com/QQKdeGit/bupt-typst), , ,56,4,2024-01-13,2023-03-28,MIT,北京邮电大学本科生毕设论文 Typst 模板。Typst template for dissertations in Beijing University of Posts and Telecommunications (BUPT).
2,哈尔滨工业大学,Harbin Institute of Technology,1/0/0,[chosertech/HIT-Thesis-Typst](https://github.com/chosertech/HIT-Thesis-Typst), , ,5,1,2023-05-19,2023-05-14, ,哈尔滨工业大学 Typst 论文模板
3,上海大学,Shanghai University,2/0/0,[LuminolT/SHU-Bachelor-Thesis-Typst](https://github.com/LuminolT/SHU-Bachelor-Thesis-Typst), , ,0,0,2023-04-10,2023-04-08, ,上海大学本科毕业论文typst模板
4,上海大学,Shanghai University,2/0/0,[shuosc/SHU-Bachelor-Thesis-Typst](https://github.com/shuosc/SHU-Bachelor-Thesis-Typst), , ,51,10,2023-04-19,2023-04-09,Apache-2.0,上海大学本科生毕业论文Typst模板
5,浙江工商大学,Zhejiang Gongshang University,1/0/0,[jujimeizuo/ZJSU-typst-template](https://github.com/jujimeizuo/ZJSU-typst-template), , ,2,0,2023-04-30,2023-04-19,Apache-2.0,浙江工商大学（本科）毕业论文typst模版
6,中山大学,Sun Yat-sen University,1/0/0,[howardlau1999/sysu-thesis-typst](https://github.com/howardlau1999/sysu-thesis-typst), , ,45,2,2023-12-09,2023-04-17,MIT,中山大学学位论文 Typst 模板
