index,count,repository,archived,obsolete,stargazers,forks,pushed_at,created_at,license,description
0,3/0/0,[XiangyunHuang/awesome-beamers](https://github.com/XiangyunHuang/awesome-beamers), , ,232,81,2023-09-01,2017-06-11, ,beamer template collection
1,3/0/0,[dustinvtran/latex-templates](https://github.com/dustinvtran/latex-templates), , ,730,157,2021-05-28,2014-09-27, ,"A collection of LaTeX templates used for research, courses, and miscellanea."
2,3/0/0,[martinbjeldbak/ultimate-beamer-theme-list](https://github.com/martinbjeldbak/ultimate-beamer-theme-list), , ,1153,109,2024-02-07,2014-09-16, ,A collection of Beamer themes from the community
