学校（机构）	学校（机构）英文	分类	语言	GitHub仓库	已归档	Star数	Fork数
哈尔滨工业大学	Harbin Institute of Technology	thesis	latex	https://github.com/YangLaTeX/hitszthesis	False	326	49
广州大学	Guangzhou University	thesis	latex	https://github.com/swq123459/GZHU-Report-Latex-Version	False	324	167
华中科技大学	Huazhong University of Science	thesis	latex	https://github.com/skinaze/HUSTPaperTemp	False	323	50
通用模板	Common Templates	presentation	latex	https://github.com/rafaelbailo/betterposter-latex-template	False	317	47
重庆大学	Chongqing University	thesis	latex	https://github.com/nanmu42/CQUThesis	False	316	69
南方科技大学	Southern University of Science and Technology	thesis	latex	https://github.com/SUSTech-CRA/sustech-master-thesis	False	302	59
通用模板	Common Templates	presentation	latex	https://github.com/hamaluik/Beamer-Theme-Execushares	False	298	81
南方科技大学	Southern University of Science and Technology	thesis	latex	https://github.com/iydon/sustechthesis	False	298	74
通用模板	Common Templates	paper	latex	https://github.com/Larry955/Latex-Paper-Templates	False	297	59
同济大学	Tongji University	thesis	latex	https://github.com/TJ-CSCCG/tongji-undergrad-thesis	False	297	29
广东工业大学	Guangdong University of Technology	thesis	latex	https://github.com/sikouhjw/gdutthesis	False	291	46
通用模板	Common Templates	presentation	latex	https://github.com/SunYanCN/Latex-Beamer-Template	False	286	58
西北工业大学	Northwestern Polytechnical University	thesis	latex	https://github.com/polossk/LaTeX-Template-For-NPU-Thesis	False	279	46
通用模板	Common Templates	paper	latex	https://github.com/QTH1225/LaTeX-in-ICM-MCM	False	270	17
通用模板	Common Templates	presentation	latex	https://github.com/XiangyunHuang/awesome-beamers	False	267	81
通用模板	Common Templates	presentation	latex	https://github.com/piazzai/arguelles	False	267	24
通用模板	Common Templates	paper	latex	https://github.com/latextemplates/lncs-enhanced	False	266	63
中南大学	Central South University	thesis	latex	https://github.com/CSUcse/CSUthesis	False	266	55
西安交通大学	Xi'an Jiaotong University	thesis	latex	https://github.com/Aetf/xjtuthesis	False	256	50
东南大学	Southeast University	thesis	latex	https://github.com/Reanon/SEUThesisLatexTemplate	False	255	37
通用模板	Common Templates	presentation	latex	https://github.com/pmichaillat/latex-presentation	False	254	72
通用模板	Common Templates	paper	latex	https://github.com/jdujava/TeXtured	False	254	13
华南师范大学	South China Normal University	thesis	latex	https://github.com/scnu/scnuthesis	False	253	70
台湾大学	National Taiwan University (NTU)	thesis	latex	https://github.com/tzhuan/ntu-thesis	False	249	133
华中科技大学	Huazhong University of Science	thesis	latex	https://github.com/XinzeZhang/HUST-PhD-Thesis-Latex	False	248	50
通用模板	Common Templates	presentation	latex	https://github.com/pm25/SimplePlus-BeamerTheme	False	244	26
四川大学	Sichuan University	thesis	latex	https://github.com/kevinleeex/scu_thesis_2020	False	236	42
华南理工大学	South China University of Technology	thesis	latex	https://github.com/alwintsui/scutthesis	False	235	55
中南大学	Central South University	thesis	latex	https://github.com/disc0ver-csu/csu-thesis	False	235	41
中国科学院大学	University of Chinese Academy of Sciences	thesis	latex	https://github.com/xiaoyao9933/UCASthesis	False	234	89
南京大学	Nanjing University	thesis	latex	https://github.com/nju-lug/modern-nju-thesis	False	234	34
（波兰）华沙工业大学	Warsaw University of Technology	thesis	latex	https://github.com/ArturB/WUT-Thesis	False	231	22
（德国）莱茵曼应用技术大学	RheinMain University of Applied Sciences	presentation	latex	https://github.com/benjamin-weiss/hsrmbeamertheme	False	228	63
北京邮电大学	Beijing University of Posts and Telecommunications	thesis	ms-word	https://github.com/sigmarising/BUPTMasterThesisWord	True	228	28
（英国）剑桥大学	University of Cambridge	thesis	latex	https://github.com/cambridge/thesis	False	225	98
（英国）牛津大学	University of Oxford	thesis	markdown	https://github.com/ulyngs/oxforddown	False	225	79
东南大学	Southeast University	thesis	latex	https://github.com/TouchFishPioneer/SEU-master-thesis	False	224	50
（德国）慕尼黑工业大学	Technical University of Munich	thesis	latex	https://github.com/TUM-Dev/tum-thesis-latex	False	223	83
（德国）FOM经济与管理应用科学大学	FOM University of Applied Sciences for Economics and Management	thesis	latex	https://github.com/andygrunwald/FOM-LaTeX-Template	False	221	236
通用模板	Common Templates	thesis	latex	https://github.com/Digital-Media/HagenbergThesis	False	221	50
清华大学	Tsinghua University	thesis	ms-word	https://github.com/fatalerror-i/ThuWordThesis	False	220	15
厦门大学	Xiamen University	thesis	latex	https://github.com/zoam/xmu-thesis-grd	False	219	43
（美国）斯坦福大学	Stanford University	presentation	latex	https://github.com/RylanSchaeffer/Stanford-LaTeX-Poster-Template	False	212	79
国防科技大学	National Defense University of Science and Technology	thesis	latex	https://github.com/TomHeaven/nudt_thesis	False	210	54
（英国）牛津大学	University of Oxford	thesis	latex	https://github.com/mcmanigle/OxThesis	False	207	128
通用模板	Common Templates	presentation	latex	https://github.com/jolars/moloch	False	206	9
上海大学	Shanghai University	thesis	latex	https://github.com/shuosc/SHU-Bachelor-Thesis-OSC	False	203	33
通用模板	Common Templates	presentation	latex	https://github.com/liu-qilong/college-beamer	False	202	63
通用模板	Common Templates	paper	latex	https://github.com/guicho271828/aaai-template	False	200	41
（丹麦）奥尔堡大学	Aalborg University	thesis	latex	https://github.com/jkjaer/aauLatexTemplates	False	195	152
深圳大学	Shenzhen University	thesis	latex	https://github.com/liuchengxu/szuthesis	False	195	66
南开大学	Nankai University	thesis	latex	https://github.com/NewFuture/NKThesis	False	195	50
西安电子科技大学	Xidian University	thesis	latex	https://github.com/fredqi/xduthesis	False	192	34
（英国）伦敦大学学院	University College London (UCL)	thesis	latex	https://github.com/UCL/ucl-latex-thesis-templates	False	186	131
合肥工业大学	HeFei University of Technology	thesis	latex	https://github.com/HFUTTUG/HFUT_Thesis	False	185	28
（伊朗）德黑兰大学	University of Tehran (UT)	thesis	latex	https://github.com/sinamomken/tehran-thesis	False	184	45
兰州大学	Lanzhou University	thesis	latex	https://github.com/yuhldr/LZUThesis2020	False	181	32
台湾大学	National Taiwan University (NTU)	thesis	latex	https://github.com/Hsins/NTU-Thesis-LaTeX-Template	False	180	45
华中科技大学	Huazhong University of Science	thesis	latex	https://github.com/hust-latex/hustthesis	False	180	34
同济大学	Tongji University	thesis	latex	https://github.com/wyqy/TongjiThesis_Proto	False	173	25
四川大学	Sichuan University	presentation	latex	https://github.com/FvNCCR228/SCU-Beamer-Theme	False	173	24
通用模板	Common Templates	thesis	typst	https://github.com/jinhao-huang/SimplePaper	False	173	16
（新加坡）南洋理工大学	Nanyang Technological University (NTU)	thesis	latex	https://github.com/wang-chen/thesis_template_ntu	False	172	57
通用模板	Common Templates	thesis	latex	https://github.com/sppmg/TW_Thesis_Template	False	170	42
通用模板	Common Templates	presentation	latex	https://github.com/LukasPietzschmann/awesome-beamer	False	167	21
西安电子科技大学	Xidian University	thesis	latex	https://github.com/StickCui/XDUthesis-personal	False	166	69
东南大学	Southeast University	thesis	latex	https://github.com/wen-fei/seu-thesis-latex-template	False	166	39
通用模板	Common Templates	presentation	latex	https://github.com/mholson/sthlmNordBeamerTheme	True	166	20
通用模板	Common Templates	paper	latex	https://github.com/jpeisenbarth/SRS-Tex	False	158	71
浙江大学	Zhejiang University	thesis	latex	https://github.com/zhanghai/zju-csse-undergraduate-design-latex-template	True	157	31
