序号,中文名,外文名,GitHub仓库,已归档,Star数,Fork数,更新时间,许可证
69,**（丹麦）奥尔堡大学**,"*Aalborg University*<br>(Aalborg Universitet, AAU)",[:simple-github: jkjaer/<br>aauLatexTemplates](https://github.com/jkjaer/aauLatexTemplates),:unlock:,180,150,:material-update: `2023-02-17`,:material-license: `BSD-3-Clause`
70,**西安电子科技大学**,*Xidian University*,[:simple-github: fredqi/<br>xduthesis](https://github.com/fredqi/xduthesis),:unlock:,179,35,:material-update: `2019-03-26`, 
71,**厦门大学**,*Xiamen University*,[:simple-github: zoam/<br>xmu-thesis-grd](https://github.com/zoam/xmu-thesis-grd),:unlock:,176,42,:material-update: `2024-03-05`, 
72,**华中科技大学**,*Huazhong University of Science*,[:simple-github: XinzeZhang/<br>HUST-PhD-Thesis-Latex](https://github.com/XinzeZhang/HUST-PhD-Thesis-Latex),:unlock:,176,40,:material-update: `2024-12-19`, 
73,**（德国）慕尼黑工业大学**,*Technical University of Munich*<br>(Technische Universität München),[:simple-github: TUM-Dev/<br>tum-thesis-latex](https://github.com/TUM-Dev/tum-thesis-latex),:unlock:,175,67,:material-update: `2025-03-05`, 
74,**南京大学**,*Nanjing University*,[:simple-github: nju-lug/<br>modern-nju-thesis](https://github.com/nju-lug/modern-nju-thesis),:unlock:,175,26,:material-update: `2025-03-14`,:material-license: `MIT`
75,**（英国）伦敦大学学院**,*University College London (UCL)*,[:simple-github: UCL/<br>ucl-latex-thesis-templates](https://github.com/UCL/ucl-latex-thesis-templates),:unlock:,173,117,:material-update: `2022-07-06`,:material-license: `NOASSERTION`
76,**西安电子科技大学**,*Xidian University*,[:simple-github: StickCui/<br>XDUthesis-personal](https://github.com/StickCui/XDUthesis-personal),:unlock:,167,69,:material-update: `2022-05-23`, 
77,**（伊朗）德黑兰大学**,"*University of Tehran*<br>(دانشگاه تهران , UT)",[:simple-github: sinamomken/<br>tehran-thesis](https://github.com/sinamomken/tehran-thesis),:unlock:,165,40,:material-update: `2022-12-30`,:material-license: `GPL-3.0`
78,**上海大学**,*Shanghai University*,[:simple-github: shuosc/<br>SHU-Bachelor-Thesis-OSC](https://github.com/shuosc/SHU-Bachelor-Thesis-OSC),:unlock:,162,33,:material-update: `2024-12-31`, 
79,**合肥工业大学**,*HeFei University of Technology*,[:simple-github: HFUTTUG/<br>HFUT_Thesis](https://github.com/HFUTTUG/HFUT_Thesis),:unlock:,160,24,:material-update: `2024-09-04`,:material-license: `LPPL-1.3c`
80,**南开大学**,*Nankai University*,[:simple-github: NewFuture/<br>NKThesis](https://github.com/NewFuture/NKThesis),:unlock:,157,48,:material-update: `2024-06-05`,:material-license: `MIT`
81,**华中科技大学**,*Huazhong University of Science*,[:simple-github: hust-latex/<br>hustthesis](https://github.com/hust-latex/hustthesis),:unlock:,155,32,:material-update: `2025-03-04`,:material-license: `LPPL-1.3c`
82,**通用模板**,*Common Templates*,[:simple-github: sppmg/<br>TW_Thesis_Template](https://github.com/sppmg/TW_Thesis_Template),:unlock:,151,39,:material-update: `2023-08-07`,:material-license: `MIT`
83,**（新加坡）南洋理工大学**,*Nanyang Technological University (NTU)*,[:simple-github: wang-chen/<br>thesis_template_ntu](https://github.com/wang-chen/thesis_template_ntu),:unlock:,150,51,:material-update: `2021-10-14`,:material-license: `MIT`
84,**浙江大学**,*Zhejiang University*,[:simple-github: zhanghai/<br>zju-csse-undergraduate-design-latex-template](https://github.com/zhanghai/zju-csse-undergraduate-design-latex-template),:card_box:,145,32,:material-update: `2017-06-04`, 
85,**兰州大学**,*Lanzhou University*,[:simple-github: yuhldr/<br>LZUThesis2020](https://github.com/yuhldr/LZUThesis2020),:unlock:,144,26,:material-update: `2025-03-14`,:material-license: `AGPL-3.0`
86,**东南大学**,*Southeast University*,[:simple-github: wen-fei/<br>seu-thesis-latex-template](https://github.com/wen-fei/seu-thesis-latex-template),:unlock:,139,38,:material-update: `2023-12-04`, 
87,**中国科学技术大学**,*University of Science and Technology of China*,[:simple-github: ywgATustcbbs/<br>ustcthesis](https://github.com/ywgATustcbbs/ustcthesis),:unlock:,138,50,:material-update: `2016-02-24`, 
88,**（美国）加利福尼亚大学洛杉矶分校**,"*University of California, Los Angeles (UCLA)*",[:simple-github: uclathes/<br>uclathes](https://github.com/uclathes/uclathes),:unlock:,137,85,:material-update: `2020-06-15`, 
89,**浙江大学**,*Zhejiang University*,[:simple-github: ZJU-Awesome/<br>write_with_LaTeX](https://github.com/ZJU-Awesome/write_with_LaTeX),:unlock:,136,92,:material-update: `2019-01-08`, 
90,**浙江大学**,*Zhejiang University*,[:simple-github: shuwei1204/<br>ZJUthesis](https://github.com/shuwei1204/ZJUthesis),:unlock:,133,50,:material-update: `2018-06-22`, 
91,**台湾大学<br>（國立臺灣大學）**,*National Taiwan University (NTU)*,[:simple-github: mediaic/<br>NTU_MS_Thesis](https://github.com/mediaic/NTU_MS_Thesis),:unlock:,133,29,:material-update: `2018-08-13`, 
92,**天津大学**,*Tianjin University*,[:simple-github: twtstudio/<br>TJUThesisLatexTemplate](https://github.com/twtstudio/TJUThesisLatexTemplate),:unlock:,131,31,:material-update: `2024-06-13`,:material-license: `GPL-3.0`
93,**台湾大学<br>（國立臺灣大學）**,*National Taiwan University (NTU)*,[:simple-github: Hsins/<br>NTU-Thesis-LaTeX-Template](https://github.com/Hsins/NTU-Thesis-LaTeX-Template),:unlock:,127,32,:material-update: `2024-08-13`,:material-license: `MIT`
94,**东南大学**,*Southeast University*,[:simple-github: seucs/<br>seuthesis](https://github.com/seucs/seuthesis),:unlock:,125,36,:material-update: `2020-10-28`,:material-license: `MIT`
95,**南京大学**,*Nanjing University*,[:simple-github: jiangyy/<br>njuthesis](https://github.com/jiangyy/njuthesis),:unlock:,123,21,:material-update: `2019-01-16`, 
96,**（新加坡）新加坡国立大学**,*National University of Singapore (NUS)*,[:simple-github: streamjoin/<br>nusthesis](https://github.com/streamjoin/nusthesis),:unlock:,122,32,:material-update: `2022-07-01`,:material-license: `MIT`
97,**（日本）名古屋大学**,*Nagoya University*<br>(名古屋大学),[:simple-github: akira-okumura/<br>MasterThesisTemplate](https://github.com/akira-okumura/MasterThesisTemplate),:unlock:,117,27,:material-update: `2024-12-23`, 
98,**同济大学**,*Tongji University*,[:simple-github: SXKDZ/<br>tongjithesis](https://github.com/SXKDZ/tongjithesis),:unlock:,116,14,:material-update: `2020-07-12`,:material-license: `Apache-2.0`
99,**中国人民大学**,*Renmin University of China*,[:simple-github: ZebinWang/<br>ructhesis](https://github.com/ZebinWang/ructhesis),:unlock:,115,66,:material-update: `2022-12-07`, 
100,**（加拿大）不列颠哥伦比亚大学**,*University of British Columbia*,[:simple-github: briandealwis/<br>ubcdiss](https://github.com/briandealwis/ubcdiss),:unlock:,111,104,:material-update: `2022-12-15`,:material-license: `NOASSERTION`
