序号,中文名,外文名,GitHub仓库,已归档,Star数,Fork数,更新时间,许可证
56,通用模板,Common Templates,https://github.com/marcocrowe/thesis-templates,0,6,0,2024-09-23, 
57,武汉大学,Wuhan University,https://github.com/whutug/course-report,0,6,0,2023-05-28,MIT
58,（美国）亚利桑那大学,University of Arizona,https://github.com/drakeasberry/UA_Dissertation_Template,0,5,3,2019-05-03, 
59,通用模板,Common Templates,https://github.com/geraked/template-report,0,5,1,2022-07-22,MIT
60,通用模板,Common Templates,https://github.com/bernardparent/TEXCLASS,0,4,2,2020-10-11,NOASSERTION
61,北京电影学院,Beijing Film Academy,https://github.com/juneleung/BFA_MasterCourse_Paper_Template,0,4,0,2024-01-29, 
62,（丹麦）奥胡斯大学,Aarhus University*<br>(Aarhus Universitet),https://github.com/taskbjorn/au-latex,0,4,0,2021-10-03,GPL-3.0
63,山东大学,Shandong University,https://github.com/Smera1d0/SDU-LaTeX-Template,0,3,1,2024-11-22,MIT
64,深圳大学,Shenzhen University,https://github.com/jinqKing/SZU-Physics-Experiment-Report-LaTeX-Module,0,3,1,2025-03-11, 
65,北京林业大学,Beijing Forestry University,https://github.com/Bloomberg2000/BJFUThesis-outstanding,0,2,1,2021-06-18, 
66,浙江传媒学院,Communication University of Zhejiang,https://github.com/xiehao/cuzexam,0,1,0,2024-12-19, 
67,（新西兰）奥克兰大学,University of Auckland,https://github.com/Uni-tato/latex-report-template,0,0,0,2023-05-24, 
68,内蒙古大学,Inner Mongolia University,https://github.com/lhxone/IMU_thesis,0,0,0,2023-01-17,MIT
